,Ward name,Borough name,City,Address,location,point
23,East Finchley,Barnet,London,"East Finchley,Barnet,London","East Finchley, The Causeway, Hampstead Garden Suburb, London Borough of Barnet, London, Greater London, England, N2 0NW, United Kingdom","(51.5871881, -0.1648137, 0.0)"
24,Edgware,Barnet,London,"Edgware,Barnet,London","Edgware, London, Greater London, England, HA8 7HE, United Kingdom","(51.6107677, -0.279305, 0.0)"
25,Finchley Church End,Barnet,London,"Finchley Church End,Barnet,London","Finchley Central, Chaville Way, Church End, London Borough of Barnet, London, Greater London, England, N3 2BG, United Kingdom","(51.6008355, -0.192318, 0.0)"
26,Garden Suburb,Barnet,London,"Garden Suburb,Barnet,London","Bishops London, Hampstead Garden Suburb, London Borough of Barnet, London, Greater London, England, United Kingdom","(51.57612505, -0.1700119699742187, 0.0)"
27,Golders Green,Barnet,London,"Golders Green,Barnet,London","Golders Green, London Borough of Barnet, London, Greater London, England, NW11 7NX, United Kingdom","(51.5718315, -0.1955219, 0.0)"
28,Hale,Barnet,London,"Hale,Barnet,London","Hale Estate, Sunbury Avenue, Broadfields, Burnt Oak, London Borough of Barnet, London, Greater London, England, NW7 3SJ, United Kingdom","(51.618006, -0.256795, 0.0)"
29,Hendon,Barnet,London,"Hendon,Barnet,London","The Hendon, 377, Hendon Way, Hendon Central, London Borough of Barnet, London, Greater London, England, NW4 3LP, United Kingdom","(51.581053350000005, -0.226820363375403, 0.0)"
30,High Barnet,Barnet,London,"High Barnet,Barnet,London","High Barnet, Barnet Hill, High Barnet, London Borough of Barnet, London, Greater London, England, EN5 5RH, United Kingdom","(51.650399, -0.1938826, 0.0)"
31,Mill Hill,Barnet,London,"Mill Hill,Barnet,London","Mill Hill, London Borough of Barnet, London, Greater London, England, NW7 1QG, United Kingdom","(51.6154423, -0.2330675, 0.0)"
32,Oakleigh,Barnet,London,"Oakleigh,Barnet,London","Oakleigh Park, Netherlands Road, Oakleigh Park, London Borough of Barnet, London, Greater London, England, EN5 1DN, United Kingdom","(51.6377516, -0.1662835, 0.0)"
33,Totteridge,Barnet,London,"Totteridge,Barnet,London","Totteridge, London, Greater London, England, N20 8PP, United Kingdom","(51.6331335, -0.2008636, 0.0)"
34,Underhill,Barnet,London,"Underhill,Barnet,London","Underhill, High Barnet, London Borough of Barnet, London, Greater London, England, EN5 2BB, United Kingdom","(51.6477684, -0.190891, 0.0)"
35,West Finchley,Barnet,London,"West Finchley,Barnet,London","West Finchley, London Borough of Barnet, London, Greater London, England, N3 1AH, United Kingdom","(51.6088451, -0.1946371, 0.0)"
36,West Hendon,Barnet,London,"West Hendon,Barnet,London","West Hendon, London Borough of Barnet, London, Greater London, England, NW9 6BG, United Kingdom","(51.578213, -0.2403793, 0.0)"
37,Woodhouse,Barnet,London,"Woodhouse,Barnet,London","Woodhouse College, Woodhouse Road, Friern Barnet, London Borough of Barnet, London, Greater London, England, N12 9EY, United Kingdom","(51.6114458, -0.1688209917227466, 0.0)"
38,Barnehurst,Bexley,London,"Barnehurst,Bexley,London","Barnehurst, Hornbeam Lane, Barnehurst, London Borough of Bexley, London, Greater London, England, DA7 6HH, United Kingdom","(51.4650212, 0.1596467, 0.0)"
39,Belvedere,Bexley,London,"Belvedere,Bexley,London","Belvedere, London Borough of Bexley, London, Greater London, England, DA17 5AP, United Kingdom","(51.4894735, 0.1473593, 0.0)"
40,Blackfen and Lamorbey,Bexley,London,"Blackfen and Lamorbey,Bexley,London","Blackfen, London Borough of Bexley, London, Greater London, England, DA15 8PR, United Kingdom","(51.4505408, 0.1030617, 0.0)"
41,Blendon and Penhill,Bexley,London,"Blendon and Penhill,Bexley,London","Blendon Road, Penhill, Blendon, London Borough of Bexley, London, Greater London, England, DA5 1BY, United Kingdom","(51.4479922, 0.1198055, 0.0)"
42,Brampton,Bexley,London,"Brampton,Bexley,London","Brampton Road, Crook Log, West Heath, London Borough of Bexley, London, Greater London, England, DA7 4SR, United Kingdom","(51.4695698, 0.1300709, 0.0)"
43,Christchurch,Bexley,London,"Christchurch,Bexley,London","Christchurch Avenue, Erith, London Borough of Bexley, London, Greater London, England, DA8 3AP, United Kingdom","(51.4799748, 0.1739214, 0.0)"
44,Colyers,Bexley,London,"Colyers,Bexley,London","Colyers Lane, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3NQ, United Kingdom","(51.4714306, 0.1644458, 0.0)"
45,Crayford,Bexley,London,"Crayford,Bexley,London","Crayford, Lower Station Road, Crayford, London Borough of Bexley, London, Greater London, England, DA1 3PW, United Kingdom","(51.4481946, 0.1783696, 0.0)"
46,Cray Meadows,Bexley,London,"Cray Meadows,Bexley,London",,
47,Danson Park,Bexley,London,"Danson Park,Bexley,London","Danson Park, Crook Log, Blendon, London Borough of Bexley, London, Greater London, England, United Kingdom","(51.4548647, 0.11756728162868635, 0.0)"
48,East Wickham,Bexley,London,"East Wickham,Bexley,London","East Wickham Open Space, Welling, London Borough of Bexley, London, Greater London, England, United Kingdom","(51.47263615, 0.10453749451693783, 0.0)"
49,Erith,Bexley,London,"Erith,Bexley,London","Erith, London Borough of Bexley, London, Greater London, England, DA8 2GQ, United Kingdom","(51.4775613, 0.1823013, 0.0)"
50,Falconwood and Welling,Bexley,London,"Falconwood and Welling,Bexley,London",,
51,Lesnes Abbey,Bexley,London,"Lesnes Abbey,Bexley,London","Lesnes Abbey, Abbey Way, West Heath, London Borough of Bexley, London, Greater London, England, DA17 5DY, United Kingdom","(51.4889564, 0.1289555375869967, 0.0)"
52,Longlands,Bexley,London,"Longlands,Bexley,London","Longlands, London Borough of Bexley, London, Greater London, England, DA14 6QF, United Kingdom","(51.4304854, 0.0841774, 0.0)"
53,North End,Bexley,London,"North End,Bexley,London",,
54,Northumberland Heath,Bexley,London,"Northumberland Heath,Bexley,London","Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom","(51.4711864, 0.1611451, 0.0)"
55,St. Mary's,Bexley,London,"St. Mary's,Bexley,London","Bexley, London Borough of Bexley, London, Greater London, England, DA5 1LD, United Kingdom","(51.4416793, 0.150488, 0.0)"
56,St. Michael's,Bexley,London,"St. Michael's,Bexley,London","St Michael's, Teviot Close, Crook Log, Welling, London Borough of Bexley, London, Greater London, England, DA16 1RE, United Kingdom","(51.471966, 0.112714, 0.0)"
57,Sidcup,Bexley,London,"Sidcup,Bexley,London","Sidcup, London, Greater London, England, DA14 6DH, United Kingdom","(51.4264002, 0.101044, 0.0)"
58,Thamesmead East,Bexley,London,"Thamesmead East,Bexley,London","Erith and Thamesmead Labour Party, Bexley Road, Northumberland Heath, London Borough of Bexley, London, Greater London, England, DA8 3EZ, United Kingdom","(51.47253155, 0.1623513929190205, 0.0)"
59,Alperton,Brent,London,"Alperton,Brent,London","Alperton, Ealing Road, Alperton, London Borough of Brent, London, Greater London, England, HA0 4LL, United Kingdom","(51.5408036, -0.3000963, 0.0)"
60,Barnhill,Brent,London,"Barnhill,Brent,London","Barnhill Road, Chalk Hill Estate, Kingsbury, London Borough of Brent, London, Greater London, England, NW9 8RS, United Kingdom","(51.5640905, -0.2631011, 0.0)"
61,Brondesbury Park,Brent,London,"Brondesbury Park,Brent,London","Brondesbury Park, Cricklewood, London Borough of Brent, London, Greater London, England, NW6 6RP, United Kingdom","(51.5405138, -0.2103359, 0.0)"
62,Dollis Hill,Brent,London,"Dollis Hill,Brent,London","Dollis Hill, Chapter Road, Willesden, London Borough of Brent, London, Greater London, England, NW2 5LY, United Kingdom","(51.5519625, -0.2390214, 0.0)"
63,Dudden Hill,Brent,London,"Dudden Hill,Brent,London","College of North West London, Dudden Hill Lane, Willesden, London Borough of Brent, London, Greater London, England, NW10 2XD, United Kingdom","(51.55202785, -0.24443588601146887, 0.0)"
64,Fryent,Brent,London,"Fryent,Brent,London","Fryent Country Park, Kingsbury, London Borough of Brent, London, Greater London, England, United Kingdom","(51.5770306, -0.2760837100645358, 0.0)"
65,Harlesden,Brent,London,"Harlesden,Brent,London","Harlesden, Acton Lane, Willesden, London Borough of Brent, London, Greater London, England, NW10 7AA, United Kingdom","(51.5363567, -0.257833, 0.0)"
66,Kensal Green,Brent,London,"Kensal Green,Brent,London","Kensal Green, College Road, Willesden, London Borough of Brent, London, Greater London, England, NW10 5JT, United Kingdom","(51.5306063, -0.2244449, 0.0)"
67,Kenton,Brent,London,"Kenton,Brent,London","Kenton, Nash Court, London Borough of Brent, London, Greater London, England, HA3 0YX, United Kingdom","(51.5815255, -0.3166378, 0.0)"
68,Kilburn,Brent,London,"Kilburn,Brent,London","Kilburn, Exeter Road, London Borough of Camden, London, Greater London, England, NW2 3UH, United Kingdom","(51.5469889, -0.2053385, 0.0)"
69,Mapesbury,Brent,London,"Mapesbury,Brent,London","Mapesbury Dell, Cricklewood, London Borough of Brent, London, Greater London, England, United Kingdom","(51.552882749999995, -0.21347501011910763, 0.0)"
70,Northwick Park,Brent,London,"Northwick Park,Brent,London","Northwick Park, Northwick Avenue, London Borough of Brent, London, Greater London, England, HA3 0AT, United Kingdom","(51.578491, -0.3176997, 0.0)"
71,Preston,Brent,London,"Preston,Brent,London","Preston, London, Greater London, England, HA9 9TA, United Kingdom","(51.5762155, -0.2915108, 0.0)"
72,Queens Park,Brent,London,"Queens Park,Brent,London","Queens Park, London Borough of Brent, London, Greater London, England, NW6 6SG, United Kingdom","(51.536046600000006, -0.21122479857057486, 0.0)"
73,Queensbury,Brent,London,"Queensbury,Brent,London","Queensbury, Cumberland Road, Kingsbury, London Borough of Brent, London, Greater London, England, HA7 1EJ, United Kingdom","(51.5941903, -0.286181, 0.0)"
74,Stonebridge,Brent,London,"Stonebridge,Brent,London","Stonebridge Park, Argenta Way, Alperton, London Borough of Brent, London, Greater London, England, HA9, United Kingdom","(51.5441099, -0.2762285, 0.0)"
75,Sudbury,Brent,London,"Sudbury,Brent,London","Sudbury Town, Station Approach, North Wembley, London Borough of Brent, London, Greater London, England, HA0 2LA, United Kingdom","(51.550751, -0.3156202, 0.0)"
76,Tokyngton,Brent,London,"Tokyngton,Brent,London","West Tokyngton, Alperton, London Borough of Brent, London, Greater London, England, United Kingdom","(51.55059635, -0.28489908276928966, 0.0)"
77,Welsh Harp,Brent,London,"Welsh Harp,Brent,London","Welsh Harp Sailing Association, Birchen Grove, Colindale, London Borough of Brent, London, Greater London, England, NW9 8SE, United Kingdom","(51.5682452, -0.25748809789768745, 0.0)"
78,Wembley Central,Brent,London,"Wembley Central,Brent,London","Wembley Central, Wembley Central Square, Alperton, London Borough of Brent, London, Greater London, England, HA9 7BS, United Kingdom","(51.5523278, -0.2966751, 0.0)"
79,Willesden Green,Brent,London,"Willesden Green,Brent,London","Willesden Green, Station Parade, Cricklewood, London Borough of Brent, London, Greater London, England, NW2 4NX, United Kingdom","(51.5493524, -0.222223, 0.0)"
80,Bickley,Bromley,London,"Bickley,Bromley,London","Bickley, London Borough of Bromley, London, Greater London, England, BR1 2WE, United Kingdom","(51.4017399, 0.0437122, 0.0)"
81,Biggin Hill,Bromley,London,"Biggin Hill,Bromley,London","Biggin Hill, London Borough of Bromley, London, Greater London, England, CR6 9PP, United Kingdom","(51.3200368, 0.0094791, 0.0)"
82,Bromley Common and Keston,Bromley,London,"Bromley Common and Keston,Bromley,London",,
83,Bromley Town,Bromley,London,"Bromley Town,Bromley,London","Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)"
84,Chelsfield and Pratts Bottom,Bromley,London,"Chelsfield and Pratts Bottom,Bromley,London","Chelsfield, Station Approach, Goddington, London Borough of Bromley, London, Greater London, England, BR6 6EU, United Kingdom","(51.3566115, 0.1083284, 0.0)"
85,Chislehurst,Bromley,London,"Chislehurst,Bromley,London","Chislehurst, London Borough of Bromley, London, Greater London, England, BR7 6SN, United Kingdom","(51.4115718, 0.0769545, 0.0)"
86,Clock House,Bromley,London,"Clock House,Bromley,London","Clock House, Beckenham Road, Elmers End, London Borough of Bromley, London, Greater London, England, BR3 4LS, United Kingdom","(51.4086793, -0.0404242, 0.0)"
87,Copers Cope,Bromley,London,"Copers Cope,Bromley,London","Copers Cope Road, New Beckenham, London Borough of Bromley, London, Greater London, England, BR3 1DQ, United Kingdom","(51.4193475, -0.0315021, 0.0)"
88,Cray Valley East,Bromley,London,"Cray Valley East,Bromley,London","Cray, London Borough of Bromley, London, Greater London, England, BR5 3TX, United Kingdom","(51.3960418, 0.1145075, 0.0)"
89,Cray Valley West,Bromley,London,"Cray Valley West,Bromley,London","Cray, London Borough of Bromley, London, Greater London, England, BR5 3TX, United Kingdom","(51.3960418, 0.1145075, 0.0)"
90,Crystal Palace,Bromley,London,"Crystal Palace,Bromley,London","Crystal Palace, London Borough of Bromley, London, Greater London, England, SE19 2GA, United Kingdom","(51.4193664, -0.0711328, 0.0)"
91,Darwin,Bromley,London,"Darwin,Bromley,London","Home of Charles Darwin, Down House, Luxted Road, Downe, London, Greater London, England, BR6 7JT, United Kingdom","(51.331448800000004, 0.05338734412002598, 0.0)"
92,Farnborough and Crofton,Bromley,London,"Farnborough and Crofton,Bromley,London",,
93,Hayes and Coney Hall,Bromley,London,"Hayes and Coney Hall,Bromley,London","Hayes Hill, Hayes, London Borough of Bromley, London, Greater London, England, BR2 7HW, United Kingdom","(51.3777494, 0.0028818, 0.0)"
94,Kelsey and Eden Park,Bromley,London,"Kelsey and Eden Park,Bromley,London",,
95,Mottingham and Chislehurst North,Bromley,London,"Mottingham and Chislehurst North,Bromley,London",,
96,Orpington,Bromley,London,"Orpington,Bromley,London","Orpington, Subway, Broom Hill, Crofton, London Borough of Bromley, London, Greater London, England, BR6 0SX, United Kingdom","(51.3736037, 0.0887195, 0.0)"
97,Penge and Cator,Bromley,London,"Penge and Cator,Bromley,London",,
98,Petts Wood and Knoll,Bromley,London,"Petts Wood and Knoll,Bromley,London","Petts Wood, London Borough of Bromley, London, Greater London, England, BR5 1PP, United Kingdom","(51.3909147, 0.0771282, 0.0)"
99,Plaistow and Sundridge,Bromley,London,"Plaistow and Sundridge,Bromley,London","Plaistow Cemetery, Sundridge, London Borough of Bromley, London, Greater London, England, United Kingdom","(51.41780745, 0.01938324074081109, 0.0)"
100,Shortlands,Bromley,London,"Shortlands,Bromley,London","Shortlands, London Borough of Bromley, London, Greater London, England, BR2 0LB, United Kingdom","(51.4060917, -0.001434, 0.0)"
101,West Wickham,Bromley,London,"West Wickham,Bromley,London","West Wickham, London Borough of Bromley, London, Greater London, England, BR4 0QE, United Kingdom","(51.3758036, -0.0146843, 0.0)"
102,Belsize,Camden,London,"Belsize,Camden,London","London, 59, South End Road, Swiss Cottage, Hampstead, London Borough of Camden, London, Greater London, England, NW3 2QB, United Kingdom","(51.55563345, -0.16684593529047703, 0.0)"
103,Bloomsbury,Camden,London,"Bloomsbury,Camden,London","Bloomsbury, London, Greater London, England, WC1B 5EG, United Kingdom","(51.523126, -0.1260664, 0.0)"
104,Camden Town with Primrose Hill,Camden,London,"Camden Town with Primrose Hill,Camden,London",,
105,Cantelowes,Camden,London,"Cantelowes,Camden,London","Cantelowes Gardens, Kentish Town, London Borough of Camden, London, Greater London, England, United Kingdom","(51.5469158, -0.1332405173774825, 0.0)"
106,Fortune Green,Camden,London,"Fortune Green,Camden,London","Fortune Green, West Hampstead, London Borough of Camden, London, Greater London, England, United Kingdom","(51.55459575, -0.19762242661430518, 0.0)"
107,Frognal and Fitzjohns,Camden,London,"Frognal and Fitzjohns,Camden,London",,
108,Gospel Oak,Camden,London,"Gospel Oak,Camden,London","Gospel Oak, Landing, Gospel Oak, London Borough of Camden, London, Greater London, England, NW5 1LT, United Kingdom","(51.5554865, -0.151577, 0.0)"
109,Hampstead Town,Camden,London,"Hampstead Town,Camden,London","Hampstead, London, Greater London, England, NW3 1EQ, United Kingdom","(51.5542879, -0.1740747, 0.0)"
110,Haverstock,Camden,London,"Haverstock,Camden,London","Haverstock School, Crogsland Road, Chalk Farm, London Borough of Camden, London, Greater London, England, NW1 8HF, United Kingdom","(51.54486825, -0.15321325911976424, 0.0)"
111,Highgate,Camden,London,"Highgate,Camden,London","Highgate, London, Greater London, England, N6 4AF, United Kingdom","(51.5744322, -0.1526837, 0.0)"
112,Holborn and Covent Garden,Camden,London,"Holborn and Covent Garden,Camden,London","High Holborn, Holborn, St Giles, London Borough of Camden, London, Greater London, England, WC2H 9DN, United Kingdom","(51.5158247, -0.1259847, 0.0)"
113,Kentish Town,Camden,London,"Kentish Town,Camden,London","Kentish Town, Camden Town, London, Greater London, England, NW5 3AB, United Kingdom","(51.5500658, -0.1425625, 0.0)"
114,Kilburn,Camden,London,"Kilburn,Camden,London","Kilburn, Exeter Road, London Borough of Camden, London, Greater London, England, NW2 3UH, United Kingdom","(51.5469889, -0.2053385, 0.0)"
115,King's Cross,Camden,London,"King's Cross,Camden,London","London King's Cross, Euston Road, Holborn, London Borough of Camden, London, Greater London, England, N1C 4AP, United Kingdom","(51.5323954, -0.1230224, 0.0)"
116,Regent's Park,Camden,London,"Regent's Park,Camden,London","The Regent's Park, Marylebone, London, Greater London, England, NW1 4NR, United Kingdom","(51.53023185, -0.15393249943541745, 0.0)"
117,St. Pancras and Somers Town,Camden,London,"St. Pancras and Somers Town,Camden,London","North London-Watford Link, St Pancras Way, Somers Town, London Borough of Camden, London, Greater London, England, NW1 0RA, United Kingdom","(51.5413224, -0.1334641, 0.0)"
118,Swiss Cottage,Camden,London,"Swiss Cottage,Camden,London","Swiss Cottage, Avenue Road, Swiss Cottage, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 6JA, United Kingdom","(51.543722, -0.174982, 0.0)"
119,West Hampstead,Camden,London,"West Hampstead,Camden,London","West Hampstead, Blackburn Road, Swiss Cottage, West Hampstead, London Borough of Camden, London, Greater London, England, NW6 1SA, United Kingdom","(51.5468194, -0.1899646, 0.0)"
120,City of London,City of London,London,"City of London,City of London,London","City of London, Greater London, England, EC2V 5AE, United Kingdom","(51.5156177, -0.0919983, 0.0)"
121,Addiscombe,Croydon,London,"Addiscombe,Croydon,London","Addiscombe, London Borough of Croydon, London, Greater London, England, CR0 6RB, United Kingdom","(51.3796916, -0.0742821, 0.0)"
122,Ashburton,Croydon,London,"Ashburton,Croydon,London","Ashburton Park, Addiscombe, London Borough of Croydon, London, Greater London, England, United Kingdom","(51.3853026, -0.06575066301783374, 0.0)"
123,Bensham Manor,Croydon,London,"Bensham Manor,Croydon,London","Bensham Manor Ward, Thornton Heath Pond Roundabout, Thornton Heath, London Borough of Croydon, London, Greater London, England, CR7 6JB, United Kingdom","(51.39715405, -0.10693439866932547, 0.0)"
124,Broad Green,Croydon,London,"Broad Green,Croydon,London","Broad Green, London Borough of Croydon, London, Greater London, England, CR0 2RL, United Kingdom","(51.3833946, -0.1083305, 0.0)"
125,Coulsdon East,Croydon,London,"Coulsdon East,Croydon,London","Coulsdon, London, Greater London, England, CR5 2NF, United Kingdom","(51.3199716, -0.1393506, 0.0)"
126,Coulsdon West,Croydon,London,"Coulsdon West,Croydon,London","Coulsdon, London, Greater London, England, CR5 2NF, United Kingdom","(51.3199716, -0.1393506, 0.0)"
127,Croham,Croydon,London,"Croham,Croydon,London","Croham Hurst, Sanderstead, London Borough of Croydon, London, Greater London, England, United Kingdom","(51.35218055, -0.08084033180758021, 0.0)"
128,Fairfield,Croydon,London,"Fairfield,Croydon,London","Fairfield Halls, Barclay Road, Broad Green, London Borough of Croydon, London, Greater London, England, CR0 1JN, United Kingdom","(51.3722383, -0.09548746510944886, 0.0)"
129,Fieldway,Croydon,London,"Fieldway,Croydon,London","Fieldway, Lodge Lane, Forestdale, London Borough of Croydon, London, Greater London, England, CR0 0QA, United Kingdom","(51.3509685, -0.0241702, 0.0)"
130,Heathfield,Croydon,London,"Heathfield,Croydon,London","Heathfield, Selsdon, London Borough of Croydon, London, Greater London, England, United Kingdom","(51.3569679, -0.0569333124962793, 0.0)"
131,Kenley,Croydon,London,"Kenley,Croydon,London","Kenley, London Borough of Croydon, London, Greater London, England, CR8 5LL, United Kingdom","(51.3227524, -0.1037854, 0.0)"
132,New Addington,Croydon,London,"New Addington,Croydon,London","New Addington, Parkway, Forestdale, London Borough of Croydon, London, Greater London, England, CR0 0DE, United Kingdom","(51.3426434, -0.0174858, 0.0)"
133,Norbury,Croydon,London,"Norbury,Croydon,London","Norbury, London Borough of Croydon, London, Greater London, England, SW16 4JP, United Kingdom","(51.4110663, -0.1224869, 0.0)"
134,Purley,Croydon,London,"Purley,Croydon,London","Purley, London Borough of Croydon, London, Greater London, England, CR8 2FQ, United Kingdom","(51.3385156, -0.115893, 0.0)"
135,Sanderstead,Croydon,London,"Sanderstead,Croydon,London","Sanderstead, London Borough of Croydon, London, Greater London, England, CR2 9LA, United Kingdom","(51.3340837, -0.0767435, 0.0)"
136,Selhurst,Croydon,London,"Selhurst,Croydon,London","Selhurst, Edith Road, London Borough of Croydon, London, Greater London, England, SE25 5QB, United Kingdom","(51.3922136, -0.0886537, 0.0)"
137,Selsdon and Ballards,Croydon,London,"Selsdon and Ballards,Croydon,London","Selsdon & Ballards Ward, Addington Road, Selsdon, London Borough of Croydon, London, Greater London, England, CR2 8LD, United Kingdom","(51.3420195, -0.05573585977814851, 0.0)"
138,Shirley,Croydon,London,"Shirley,Croydon,London","Shirley, London Borough of Croydon, London, Greater London, England, CR0 8BJ, United Kingdom","(51.3749243, -0.0466335, 0.0)"
139,South Norwood,Croydon,London,"South Norwood,Croydon,London","South Norwood, London Borough of Croydon, London, Greater London, England, SE25 5AJ, United Kingdom","(51.3980951, -0.0768216, 0.0)"
140,Thornton Heath,Croydon,London,"Thornton Heath,Croydon,London","Thornton Heath, London Borough of Croydon, London, Greater London, England, United Kingdom","(51.3988709, -0.099602, 0.0)"
141,Upper Norwood,Croydon,London,"Upper Norwood,Croydon,London","Upper Norwood, London Borough of Croydon, London, Greater London, England, SE19 3DP, United Kingdom","(51.4164053, -0.0940347, 0.0)"
142,Waddon,Croydon,London,"Waddon,Croydon,London","Waddon, Epsom Road, Waddon, London Borough of Croydon, London, Greater London, England, CR0 4RX, United Kingdom","(51.3673011, -0.1173627, 0.0)"
143,West Thornton,Croydon,London,"West Thornton,Croydon,London","London Road, Thornton Heath, London Borough of Croydon, London, Greater London, England, CR7 7PJ, United Kingdom","(51.3989969, -0.1167977, 0.0)"
144,Woodside,Croydon,London,"Woodside,Croydon,London","Woodside, Woodside Road, Addiscombe, London Borough of Croydon, London, Greater London, England, SE25 5DP, United Kingdom","(51.3870773, -0.0653308, 0.0)"
145,Acton Central,Ealing,London,"Acton Central,Ealing,London","Acton Central, Churchfield Road, Acton, London Borough of Ealing, London, Greater London, England, W3 6BH, United Kingdom","(51.5087164, -0.2628073, 0.0)"
