,Ward name,Borough name,City,Address,Latitude,Longitude
32,Oakleigh,Barnet,London,"Oakleigh,Barnet,London",51.6377516,-0.1662835
33,Totteridge,Barnet,London,"Totteridge,Barnet,London",51.6331335,-0.2008636
34,Underhill,Barnet,London,"Underhill,Barnet,London",51.6477684,-0.190891
35,West Finchley,Barnet,London,"West Finchley,Barnet,London",51.6088451,-0.1946371
36,West Hendon,Barnet,London,"West Hendon,Barnet,London",51.578213,-0.2403793
37,Woodhouse,Barnet,London,"Woodhouse,Barnet,London",51.6114458,-0.168820992
38,Barnehurst,Bexley,London,"Barnehurst,Bexley,London",51.4650212,0.1596467
39,Belvedere,Bexley,London,"Belvedere,Bexley,London",51.4894735,0.1473593
40,Blackfen and Lamorbey,Bexley,London,"Blackfen and Lamorbey,Bexley,London",51.4505408,0.1030617
41,Blendon and Penhill,Bexley,London,"Blendon and Penhill,Bexley,London",51.4479922,0.1198055
42,Brampton,Bexley,London,"Brampton,Bexley,London",51.4695698,0.1300709
43,Christchurch,Bexley,London,"Christchurch,Bexley,London",51.4799748,0.1739214
44,Colyers,Bexley,London,"Colyers,Bexley,London",51.4714306,0.1644458
45,Crayford,Bexley,London,"Crayford,Bexley,London",51.4481946,0.1783696
46,Cray Meadows,Bexley,London,"Cray Meadows,Bexley,London",,
47,Danson Park,Bexley,London,"Danson Park,Bexley,London",51.4548647,0.117567282
48,East Wickham,Bexley,London,"East Wickham,Bexley,London",51.47263615,0.104537495
49,Erith,Bexley,London,"Erith,Bexley,London",51.4775613,0.1823013
50,Falconwood and Welling,Bexley,London,"Falconwood and Welling,Bexley,London",,
51,Lesnes Abbey,Bexley,London,"Lesnes Abbey,Bexley,London",51.4889564,0.128955538
52,Longlands,Bexley,London,"Longlands,Bexley,London",51.4304854,0.0841774
53,North End,Bexley,London,"North End,Bexley,London",,
54,Northumberland Heath,Bexley,London,"Northumberland Heath,Bexley,London",51.4711864,0.1611451
55,St. Mary's,Bexley,London,"St. Mary's,Bexley,London",51.4416793,0.150488
56,St. Michael's,Bexley,London,"St. Michael's,Bexley,London",51.471966,0.112714
57,Sidcup,Bexley,London,"Sidcup,Bexley,London",51.4264002,0.101044
58,Thamesmead East,Bexley,London,"Thamesmead East,Bexley,London",51.47253155,0.162351393
59,Alperton,Brent,London,"Alperton,Brent,London",51.5408036,-0.3000963
60,Barnhill,Brent,London,"Barnhill,Brent,London",51.5640905,-0.2631011
61,Brondesbury Park,Brent,London,"Brondesbury Park,Brent,London",51.5405138,-0.2103359
62,Dollis Hill,Brent,London,"Dollis Hill,Brent,London",51.5519625,-0.2390214
63,Dudden Hill,Brent,London,"Dudden Hill,Brent,London",51.55202785,-0.244435886
64,Fryent,Brent,London,"Fryent,Brent,London",51.5770306,-0.27608371
65,Harlesden,Brent,London,"Harlesden,Brent,London",51.5363567,-0.257833
66,Kensal Green,Brent,London,"Kensal Green,Brent,London",51.5306063,-0.2244449
67,Kenton,Brent,London,"Kenton,Brent,London",51.5815255,-0.3166378
68,Kilburn,Brent,London,"Kilburn,Brent,London",51.5469889,-0.2053385
69,Mapesbury,Brent,London,"Mapesbury,Brent,London",51.55288275,-0.21347501
70,Northwick Park,Brent,London,"Northwick Park,Brent,London",51.578491,-0.3176997
71,Preston,Brent,London,"Preston,Brent,London",51.5762155,-0.2915108
72,Queens Park,Brent,London,"Queens Park,Brent,London",51.5360466,-0.211224799
73,Queensbury,Brent,London,"Queensbury,Brent,London",51.5941903,-0.286181
74,Stonebridge,Brent,London,"Stonebridge,Brent,London",51.5441099,-0.2762285
75,Sudbury,Brent,London,"Sudbury,Brent,London",51.550751,-0.3156202
76,Tokyngton,Brent,London,"Tokyngton,Brent,London",51.55059635,-0.284899083
77,Welsh Harp,Brent,London,"Welsh Harp,Brent,London",51.5682452,-0.257488098
78,Wembley Central,Brent,London,"Wembley Central,Brent,London",51.5523278,-0.2966751
79,Willesden Green,Brent,London,"Willesden Green,Brent,London",51.5493524,-0.222223
80,Bickley,Bromley,London,"Bickley,Bromley,London",51.4017399,0.0437122
81,Biggin Hill,Bromley,London,"Biggin Hill,Bromley,London",51.3200368,0.0094791
82,Bromley Common and Keston,Bromley,London,"Bromley Common and Keston,Bromley,London",,
83,Bromley Town,Bromley,London,"Bromley Town,Bromley,London",51.4028046,0.0148142
84,Chelsfield and Pratts Bottom,Bromley,London,"Chelsfield and Pratts Bottom,Bromley,London",51.3566115,0.1083284
85,Chislehurst,Bromley,London,"Chislehurst,Bromley,London",51.4115718,0.0769545
86,Clock House,Bromley,London,"Clock House,Bromley,London",51.4086793,-0.0404242
87,Copers Cope,Bromley,London,"Copers Cope,Bromley,London",51.4193475,-0.0315021
88,Cray Valley East,Bromley,London,"Cray Valley East,Bromley,London",51.3960418,0.1145075
89,Cray Valley West,Bromley,London,"Cray Valley West,Bromley,London",51.3960418,0.1145075
90,Crystal Palace,Bromley,London,"Crystal Palace,Bromley,London",51.4193664,-0.0711328
91,Darwin,Bromley,London,"Darwin,Bromley,London",51.3314488,0.053387344
92,Farnborough and Crofton,Bromley,London,"Farnborough and Crofton,Bromley,London",,
93,Hayes and Coney Hall,Bromley,London,"Hayes and Coney Hall,Bromley,London",51.3777494,0.0028818
94,Kelsey and Eden Park,Bromley,London,"Kelsey and Eden Park,Bromley,London",,
95,Mottingham and Chislehurst North,Bromley,London,"Mottingham and Chislehurst North,Bromley,London",,
96,Orpington,Bromley,London,"Orpington,Bromley,London",51.3736037,0.0887195
97,Penge and Cator,Bromley,London,"Penge and Cator,Bromley,London",,
98,Petts Wood and Knoll,Bromley,London,"Petts Wood and Knoll,Bromley,London",51.3909147,0.0771282
99,Plaistow and Sundridge,Bromley,London,"Plaistow and Sundridge,Bromley,London",51.41780745,0.019383241
100,Shortlands,Bromley,London,"Shortlands,Bromley,London",51.4060917,-0.001434
101,West Wickham,Bromley,London,"West Wickham,Bromley,London",51.3758036,-0.0146843
102,Belsize,Camden,London,"Belsize,Camden,London",51.55563345,-0.166845935
103,Bloomsbury,Camden,London,"Bloomsbury,Camden,London",51.523126,-0.1260664
104,Camden Town with Primrose Hill,Camden,London,"Camden Town with Primrose Hill,Camden,London",,
105,Cantelowes,Camden,London,"Cantelowes,Camden,London",51.5469158,-0.133240517
106,Fortune Green,Camden,London,"Fortune Green,Camden,London",51.55459575,-0.197622427
107,Frognal and Fitzjohns,Camden,London,"Frognal and Fitzjohns,Camden,London",,
108,Gospel Oak,Camden,London,"Gospel Oak,Camden,London",51.5554865,-0.151577
109,Hampstead Town,Camden,London,"Hampstead Town,Camden,London",51.5542879,-0.1740747
110,Haverstock,Camden,London,"Haverstock,Camden,London",51.54486825,-0.153213259
111,Highgate,Camden,London,"Highgate,Camden,London",51.5744322,-0.1526837
112,Holborn and Covent Garden,Camden,London,"Holborn and Covent Garden,Camden,London",51.5158247,-0.1259847
113,Kentish Town,Camden,London,"Kentish Town,Camden,London",51.5500658,-0.1425625
114,Kilburn,Camden,London,"Kilburn,Camden,London",51.5469889,-0.2053385
115,King's Cross,Camden,London,"King's Cross,Camden,London",51.5323954,-0.1230224
116,Regent's Park,Camden,London,"Regent's Park,Camden,London",51.53023185,-0.153932499
117,St. Pancras and Somers Town,Camden,London,"St. Pancras and Somers Town,Camden,London",51.5413224,-0.1334641
118,Swiss Cottage,Camden,London,"Swiss Cottage,Camden,London",51.543722,-0.174982
119,West Hampstead,Camden,London,"West Hampstead,Camden,London",51.5468194,-0.1899646
120,City of London,City of London,London,"City of London,City of London,London",51.5156177,-0.0919983
121,Addiscombe,Croydon,London,"Addiscombe,Croydon,London",51.3796916,-0.0742821
122,Ashburton,Croydon,London,"Ashburton,Croydon,London",51.3853026,-0.065750663
123,Bensham Manor,Croydon,London,"Bensham Manor,Croydon,London",51.39715405,-0.106934399
124,Broad Green,Croydon,London,"Broad Green,Croydon,London",51.3833946,-0.1083305
125,Coulsdon East,Croydon,London,"Coulsdon East,Croydon,London",51.3199716,-0.1393506
126,Coulsdon West,Croydon,London,"Coulsdon West,Croydon,London",51.3199716,-0.1393506
127,Croham,Croydon,London,"Croham,Croydon,London",51.35218055,-0.080840332
128,Fairfield,Croydon,London,"Fairfield,Croydon,London",51.3722383,-0.095487465
129,Fieldway,Croydon,London,"Fieldway,Croydon,London",51.3509685,-0.0241702
130,Heathfield,Croydon,London,"Heathfield,Croydon,London",51.3569679,-0.056933312
131,Kenley,Croydon,London,"Kenley,Croydon,London",51.3227524,-0.1037854
132,New Addington,Croydon,London,"New Addington,Croydon,London",51.3426434,-0.0174858
133,Norbury,Croydon,London,"Norbury,Croydon,London",51.4110663,-0.1224869
134,Purley,Croydon,London,"Purley,Croydon,London",51.3385156,-0.115893
135,Sanderstead,Croydon,London,"Sanderstead,Croydon,London",51.3340837,-0.0767435
136,Selhurst,Croydon,London,"Selhurst,Croydon,London",51.3922136,-0.0886537
137,Selsdon and Ballards,Croydon,London,"Selsdon and Ballards,Croydon,London",51.3420195,-0.05573586
138,Shirley,Croydon,London,"Shirley,Croydon,London",51.3749243,-0.0466335
139,South Norwood,Croydon,London,"South Norwood,Croydon,London",51.3980951,-0.0768216
140,Thornton Heath,Croydon,London,"Thornton Heath,Croydon,London",51.3988709,-0.099602
141,Upper Norwood,Croydon,London,"Upper Norwood,Croydon,London",51.4164053,-0.0940347
142,Waddon,Croydon,London,"Waddon,Croydon,London",51.3673011,-0.1173627
143,West Thornton,Croydon,London,"West Thornton,Croydon,London",51.3989969,-0.1167977
144,Woodside,Croydon,London,"Woodside,Croydon,London",51.3870773,-0.0653308
145,Acton Central,Ealing,London,"Acton Central,Ealing,London",51.5087164,-0.2628073
146,Cleveland,Ealing,London,"Cleveland,Ealing,London",51.52300205,-0.322423564
147,Dormers Wells,Ealing,London,"Dormers Wells,Ealing,London",51.5184396,-0.366552131
148,Ealing Broadway,Ealing,London,"Ealing Broadway,Ealing,London",51.5149803,-0.3004067
149,Ealing Common,Ealing,London,"Ealing Common,Ealing,London",51.5097107,-0.2881658
150,East Acton,Ealing,London,"East Acton,Ealing,London",51.51775675,-0.252136447
151,Elthorne,Ealing,London,"Elthorne,Ealing,London",51.5005221,-0.331112674
152,Greenford Broadway,Ealing,London,"Greenford Broadway,Ealing,London",51.5280218,-0.3540754
153,Greenford Green,Ealing,London,"Greenford Green,Ealing,London",51.5422492,-0.3453513
154,Hanger Hill,Ealing,London,"Hanger Hill,Ealing,London",51.5303098,-0.2936453
155,Hobbayne,Ealing,London,"Hobbayne,Ealing,London",51.5195173,-0.3461953
156,Lady Margaret,Ealing,London,"Lady Margaret,Ealing,London",51.5177515,-0.3753809
157,Northfield,Ealing,London,"Northfield,Ealing,London",51.5082193,-0.31873681
158,North Greenford,Ealing,London,"North Greenford,Ealing,London",51.5551182,-0.3367211
159,Northolt Mandeville,Ealing,London,"Northolt Mandeville,Ealing,London",51.5484582,-0.3695247
160,Northolt West End,Ealing,London,"Northolt West End,Ealing,London",51.5465937,-0.369565
161,Norwood Green,Ealing,London,"Norwood Green,Ealing,London",51.4966058,-0.3693772
162,Perivale,Ealing,London,"Perivale,Ealing,London",51.5364952,-0.3225887
163,South Acton,Ealing,London,"South Acton,Ealing,London",51.4997225,-0.2698979
164,Southall Broadway,Ealing,London,"Southall Broadway,Ealing,London",51.5099194,-0.3762117
165,Southall Green,Ealing,London,"Southall Green,Ealing,London",51.5060205,-0.3775015
166,Southfield,Ealing,London,"Southfield,Ealing,London",51.5025131,-0.2638832
167,Walpole,Ealing,London,"Walpole,Ealing,London",51.5060204,-0.3049015
168,Bowes,Enfield,London,"Bowes,Enfield,London",51.6123266,-0.1000295
169,Bush Hill Park,Enfield,London,"Bush Hill Park,Enfield,London",51.6417042,-0.0694005
170,Chase,Enfield,London,"Chase,Enfield,London",51.6014893,-0.1116958
171,Cockfosters,Enfield,London,"Cockfosters,Enfield,London",51.651366,-0.1485149
172,Edmonton Green,Enfield,London,"Edmonton Green,Enfield,London",51.6248371,-0.061208
173,Enfield Highway,Enfield,London,"Enfield Highway,Enfield,London",51.6570215,-0.0470996
174,Enfield Lock,Enfield,London,"Enfield Lock,Enfield,London",51.6708872,-0.0285727
175,Grange,Enfield,London,"Grange,Enfield,London",51.6419939,-0.096344
176,Haselbury,Enfield,London,"Haselbury,Enfield,London",51.6242472,-0.0741612
177,Highlands,Enfield,London,"Highlands,Enfield,London",51.649935,-0.1064298
178,Jubilee,Enfield,London,"Jubilee,Enfield,London",51.6346673,-0.059330951
179,Lower Edmonton,Enfield,London,"Lower Edmonton,Enfield,London",51.6133019,-0.0358428
180,Palmers Green,Enfield,London,"Palmers Green,Enfield,London",51.6183704,-0.110499
181,Ponders End,Enfield,London,"Ponders End,Enfield,London",51.6428463,-0.0347837
182,Southbury,Enfield,London,"Southbury,Enfield,London",51.6480314,-0.0526302
183,Southgate,Enfield,London,"Southgate,Enfield,London",51.6281547,-0.123596
184,Southgate Green,Enfield,London,"Southgate Green,Enfield,London",51.6281547,-0.123596
185,Town,Enfield,London,"Town,Enfield,London",51.6521726,-0.081518
186,Turkey Street,Enfield,London,"Turkey Street,Enfield,London",51.6727331,-0.047176
187,Upper Edmonton,Enfield,London,"Upper Edmonton,Enfield,London",51.6203392,-0.0659791
188,Winchmore Hill,Enfield,London,"Winchmore Hill,Enfield,London",51.6333948,-0.1033617
189,Abbey Wood,Greenwich,London,"Abbey Wood,Greenwich,London",51.487621,0.1140504
190,Blackheath Westcombe,Greenwich,London,"Blackheath Westcombe,Greenwich,London",51.4775675,0.0190989
191,Charlton,Greenwich,London,"Charlton,Greenwich,London",51.4826053,0.0365359
192,Coldharbour and New Eltham,Greenwich,London,"Coldharbour and New Eltham,Greenwich,London",51.4304703,0.0576814
193,Eltham North,Greenwich,London,"Eltham North,Greenwich,London",51.4505687,0.0541253
194,Eltham South,Greenwich,London,"Eltham South,Greenwich,London",51.4555936,0.0522692
195,Eltham West,Greenwich,London,"Eltham West,Greenwich,London",51.4505687,0.0541253
196,Glyndon,Greenwich,London,"Glyndon,Greenwich,London",51.4873935,0.0846794
197,Greenwich West,Greenwich,London,"Greenwich West,Greenwich,London",51.4820845,-0.0045417
198,Kidbrooke with Hornfair,Greenwich,London,"Kidbrooke with Hornfair,Greenwich,London",,
199,Middle Park and Sutcliffe,Greenwich,London,"Middle Park and Sutcliffe,Greenwich,London",,
200,Peninsula,Greenwich,London,"Peninsula,Greenwich,London",51.50814615,0.028731845
201,Plumstead,Greenwich,London,"Plumstead,Greenwich,London",51.4804635,0.0924286
202,Shooters Hill,Greenwich,London,"Shooters Hill,Greenwich,London",51.4692255,0.066306
203,Thamesmead Moorings,Greenwich,London,"Thamesmead Moorings,Greenwich,London",51.4989335,0.1148486
204,Woolwich Common,Greenwich,London,"Woolwich Common,Greenwich,London",51.47671115,0.053959067
205,Woolwich Riverside,Greenwich,London,"Woolwich Riverside,Greenwich,London",51.4826696,0.0623335
206,Brownswood,Hackney,London,"Brownswood,Hackney,London",51.56397355,-0.092734327
207,Cazenove,Hackney,London,"Cazenove,Hackney,London",51.5656277,-0.0666574
208,Clissold,Hackney,London,"Clissold,Hackney,London",51.5612537,-0.088399335
209,Dalston,Hackney,London,"Dalston,Hackney,London",51.5434023,-0.0672286
210,De Beauvoir,Hackney,London,"De Beauvoir,Hackney,London",51.536286,-0.081709
211,Hackney Central,Hackney,London,"Hackney Central,Hackney,London",51.5470605,-0.0568749
212,Hackney Downs,Hackney,London,"Hackney Downs,Hackney,London",51.5486455,-0.060686
213,Hackney Wick,Hackney,London,"Hackney Wick,Hackney,London",51.543433,-0.0240839
214,Haggerston,Hackney,London,"Haggerston,Hackney,London",51.5385184,-0.0753811
215,Homerton,Hackney,London,"Homerton,Hackney,London",51.5470789,-0.043121
216,Hoxton East & Shoreditch,Hackney,London,"Hoxton East & Shoreditch,Hackney,London",51.5312914,-0.0758535
217,Hoxton West,Hackney,London,"Hoxton West,Hackney,London",51.5312914,-0.0758535
218,King's Park,Hackney,London,"King's Park,Hackney,London",51.54497,-0.078464938
219,Lea Bridge,Hackney,London,"Lea Bridge,Hackney,London",51.5621415,-0.045734448
220,London Fields,Hackney,London,"London Fields,Hackney,London",51.5410518,-0.0577737
221,Shacklewell,Hackney,London,"Shacklewell,Hackney,London",51.5523761,-0.0701582
222,Springfield,Hackney,London,"Springfield,Hackney,London",51.5683986,-0.0565668
223,Stamford Hill West,Hackney,London,"Stamford Hill West,Hackney,London",51.5744324,-0.0766481
224,Stoke Newington,Hackney,London,"Stoke Newington,Hackney,London",51.5576971,-0.0772816
225,Victoria,Hackney,London,"Victoria,Hackney,London",51.54571365,-0.070100399
226,Woodberry Down,Hackney,London,"Woodberry Down,Hackney,London",51.5724915,-0.090699
227,Addison,Hammersmith and Fulham,London,"Addison,Hammersmith and Fulham,London",51.5020119,-0.2153718
228,Askew,Hammersmith and Fulham,London,"Askew,Hammersmith and Fulham,London",51.5060644,-0.2431987
229,Avonmore and Brook Green,Hammersmith and Fulham,London,"Avonmore and Brook Green,Hammersmith and Fulham,London",,
230,College Park and Old Oak,Hammersmith and Fulham,London,"College Park and Old Oak,Hammersmith and Fulham,London",,
231,Fulham Broadway,Hammersmith and Fulham,London,"Fulham Broadway,Hammersmith and Fulham,London",51.4808834,-0.1943493
232,Fulham Reach,Hammersmith and Fulham,London,"Fulham Reach,Hammersmith and Fulham,London",51.4871579,-0.226170455
233,Hammersmith Broadway,Hammersmith and Fulham,London,"Hammersmith Broadway,Hammersmith and Fulham,London",51.49215415,-0.224162205
234,Munster,Hammersmith and Fulham,London,"Munster,Hammersmith and Fulham,London",51.4789728,-0.2113845
235,North End,Hammersmith and Fulham,London,"North End,Hammersmith and Fulham,London",51.4741227,-0.1840077
236,Palace Riverside,Hammersmith and Fulham,London,"Palace Riverside,Hammersmith and Fulham,London",51.490929,-0.2235307
237,Parsons Green and Walham,Hammersmith and Fulham,London,"Parsons Green and Walham,Hammersmith and Fulham,London",51.4735501,-0.1920695
238,Ravenscourt Park,Hammersmith and Fulham,London,"Ravenscourt Park,Hammersmith and Fulham,London",51.4941293,-0.2357932
239,Sands End,Hammersmith and Fulham,London,"Sands End,Hammersmith and Fulham,London",51.4725454,-0.1871122
240,Shepherd's Bush Green,Hammersmith and Fulham,London,"Shepherd's Bush Green,Hammersmith and Fulham,London",51.50423455,-0.221799012
241,Town,Hammersmith and Fulham,London,"Town,Hammersmith and Fulham,London",51.4920377,-0.2236401
242,Wormholt and White City,Hammersmith and Fulham,London,"Wormholt and White City,Hammersmith and Fulham,London",51.5078121,-0.2406007
243,Alexandra,Haringey,London,"Alexandra,Haringey,London",51.5942224,-0.130857147
244,Bounds Green,Haringey,London,"Bounds Green,Haringey,London",51.607376,-0.1249047
245,Bruce Grove,Haringey,London,"Bruce Grove,Haringey,London",51.593712,-0.0700556
246,Crouch End,Haringey,London,"Crouch End,Haringey,London",51.5787402,-0.1235992
247,Fortis Green,Haringey,London,"Fortis Green,Haringey,London",51.590997,-0.1534208
248,Harringay,Haringey,London,"Harringay,Haringey,London",51.5773885,-0.1053581
249,Highgate,Haringey,London,"Highgate,Haringey,London",51.5776825,-0.1458316
250,Hornsey,Haringey,London,"Hornsey,Haringey,London",51.5863215,-0.1116832
251,Muswell Hill,Haringey,London,"Muswell Hill,Haringey,London",51.5910395,-0.1420768
252,Noel Park,Haringey,London,"Noel Park,Haringey,London",51.5970269,-0.1009153
253,Northumberland Park,Haringey,London,"Northumberland Park,Haringey,London",51.6019419,-0.0539446
254,St. Ann's,Haringey,London,"St. Ann's,Haringey,London",51.58126395,-0.0844437
255,Seven Sisters,Haringey,London,"Seven Sisters,Haringey,London",51.5824738,-0.0749325
256,Stroud Green,Haringey,London,"Stroud Green,Haringey,London",51.5716864,-0.1114972
257,Tottenham Green,Haringey,London,"Tottenham Green,Haringey,London",51.58775405,-0.071476082
258,Tottenham Hale,Haringey,London,"Tottenham Hale,Haringey,London",51.5881223,-0.0599366
259,West Green,Haringey,London,"West Green,Haringey,London",51.5868063,-0.0898489
260,White Hart Lane,Haringey,London,"White Hart Lane,Haringey,London",51.6045762,-0.0707857
261,Woodside,Haringey,London,"Woodside,Haringey,London",51.603495,-0.100912965
262,Belmont,Harrow,London,"Belmont,Harrow,London",51.601225,-0.3181008
263,Canons,Harrow,London,"Canons,Harrow,London",51.6080065,-0.2947453
264,Edgware,Harrow,London,"Edgware,Harrow,London",51.6188193,-0.28861724
265,Greenhill,Harrow,London,"Greenhill,Harrow,London",51.5840017,-0.3330006
266,Harrow on the Hill,Harrow,London,"Harrow on the Hill,Harrow,London",51.5792702,-0.3366561
267,Harrow Weald,Harrow,London,"Harrow Weald,Harrow,London",51.6047861,-0.3404854
268,Hatch End,Harrow,London,"Hatch End,Harrow,London",51.6095781,-0.3687836
269,Headstone North,Harrow,London,"Headstone North,Harrow,London",51.59188325,-0.354216652
270,Headstone South,Harrow,London,"Headstone South,Harrow,London",51.59188325,-0.354216652
271,Kenton East,Harrow,London,"Kenton East,Harrow,London",51.581287,-0.316473162
272,Kenton West,Harrow,London,"Kenton West,Harrow,London",51.581287,-0.316473162
273,Marlborough,Harrow,London,"Marlborough,Harrow,London",51.5899659,-0.332507
274,Pinner,Harrow,London,"Pinner,Harrow,London",51.5968712,-0.3770142
275,Pinner South,Harrow,London,"Pinner South,Harrow,London",51.5968712,-0.3770142
276,Queensbury,Harrow,London,"Queensbury,Harrow,London",51.5962551,-0.2947263
277,Rayners Lane,Harrow,London,"Rayners Lane,Harrow,London",51.5767143,-0.3703002
278,Roxbourne,Harrow,London,"Roxbourne,Harrow,London",51.5654065,-0.3733966
279,Roxeth,Harrow,London,"Roxeth,Harrow,London",51.5604822,-0.350074705
280,Stanmore Park,Harrow,London,"Stanmore Park,Harrow,London",51.6188526,-0.3026271
281,Wealdstone,Harrow,London,"Wealdstone,Harrow,London",51.5936353,-0.3294758
282,West Harrow,Harrow,London,"West Harrow,Harrow,London",51.5795852,-0.3530692
283,Brooklands,Havering,London,"Brooklands,Havering,London",51.5807764,0.1734282
284,Cranham,Havering,London,"Cranham,Havering,London",51.5614882,0.2679097
285,Elm Park,Havering,London,"Elm Park,Havering,London",51.549579,0.1974303
286,Emerson Park,Havering,London,"Emerson Park,Havering,London",51.5686007,0.2202375
287,Gooshays,Havering,London,"Gooshays,Havering,London",51.6057414,0.2250343
288,Hacton,Havering,London,"Hacton,Havering,London",51.5507766,0.2328845
289,Harold Wood,Havering,London,"Harold Wood,Havering,London",51.5936326,0.2310497
290,Havering Park,Havering,London,"Havering Park,Havering,London",51.6089815,0.1644474
291,Heaton,Havering,London,"Heaton,Havering,London",51.6000079,0.208919
292,Hylands,Havering,London,"Hylands,Havering,London",51.57116995,0.200615089
293,Mawneys,Havering,London,"Mawneys,Havering,London",,
294,Pettits,Havering,London,"Pettits,Havering,London",51.5871445,0.1858512
295,Rainham and Wennington,Havering,London,"Rainham and Wennington,Havering,London",51.5167284,0.1996559
296,Romford Town,Havering,London,"Romford Town,Havering,London",51.5760462,0.1822646
297,St. Andrew's,Havering,London,"St. Andrew's,Havering,London",51.55792615,0.249812805
298,South Hornchurch,Havering,London,"South Hornchurch,Havering,London",51.5330916,0.1912727
299,Squirrel's Heath,Havering,London,"Squirrel's Heath,Havering,London",51.5898585,0.2356099
300,Upminster,Havering,London,"Upminster,Havering,London",51.5589502,0.2520875
301,Barnhill,Hillingdon,London,"Barnhill,Hillingdon,London",51.5879314,-0.3930981
302,Botwell,Hillingdon,London,"Botwell,Hillingdon,London",51.5146764,-0.4320206
303,Brunel,Hillingdon,London,"Brunel,Hillingdon,London",51.53255315,-0.473993562
304,Cavendish,Hillingdon,London,"Cavendish,Hillingdon,London",51.57266795,-0.395004385
305,Charville,Hillingdon,London,"Charville,Hillingdon,London",51.5335444,-0.415409273
306,Eastcote and East Ruislip,Hillingdon,London,"Eastcote and East Ruislip,Hillingdon,London",51.5795418,-0.4016534
307,Harefield,Hillingdon,London,"Harefield,Hillingdon,London",51.6041828,-0.4825622
308,Heathrow Villages,Hillingdon,London,"Heathrow Villages,Hillingdon,London",,
309,Hillingdon East,Hillingdon,London,"Hillingdon East,Hillingdon,London",51.532563,-0.453256
310,Ickenham,Hillingdon,London,"Ickenham,Hillingdon,London",51.5615698,-0.4423513
311,Manor,Hillingdon,London,"Manor,Hillingdon,London",51.5425193,-0.448334931
312,Northwood,Hillingdon,London,"Northwood,Hillingdon,London",51.6051713,-0.4205812
313,Northwood Hills,Hillingdon,London,"Northwood Hills,Hillingdon,London",51.6001534,-0.4084575
314,Pinkwell,Hillingdon,London,"Pinkwell,Hillingdon,London",51.4996471,-0.440127157
315,South Ruislip,Hillingdon,London,"South Ruislip,Hillingdon,London",51.5569909,-0.3990635
